instrument,style,timeframe,start_date,end_date,n_trades,win_rate,net_pnl,profit_factor,run_at
EUR/USD,scalp,15m,2024-07-06,2026-07-06,123,30.9,-4972.96,0.582,2026-07-06T18:02:41Z
EUR/USD,intraday,1h,2024-07-06,2026-07-06,84,35.7,-2127.1,0.812,2026-07-06T18:03:03Z
EUR/USD,swing,1d,2024-07-06,2026-07-06,17,52.9,-31.87,0.984,2026-07-06T18:03:15Z
EUR/USD,position,1d,2024-07-06,2026-07-06,5,60.0,112.89,1.094,2026-07-06T18:03:27Z
GBP/USD,scalp,15m,2024-07-06,2026-07-06,124,33.1,-4349.64,0.615,2026-07-06T18:03:55Z
GBP/USD,intraday,1h,2024-07-06,2026-07-06,92,32.6,-2332.03,0.806,2026-07-06T18:04:15Z
GBP/USD,swing,1d,2024-07-06,2026-07-06,19,36.8,-1400.18,0.511,2026-07-06T18:04:27Z
GBP/USD,position,1d,2024-07-06,2026-07-06,5,40.0,699.71,1.596,2026-07-06T18:04:38Z
USD/JPY,scalp,15m,2024-07-06,2026-07-06,76,28.9,-3715.64,0.469,2026-07-06T18:05:04Z
USD/JPY,intraday,1h,2024-07-06,2026-07-06,75,34.7,-2218.24,0.787,2026-07-06T18:05:36Z
USD/JPY,swing,1d,2024-07-06,2026-07-06,25,52.0,1864.49,1.807,2026-07-06T18:05:48Z
USD/JPY,position,1d,2024-07-06,2026-07-06,7,42.9,851.01,1.647,2026-07-06T18:05:59Z
USD/CHF,scalp,15m,2024-07-06,2026-07-06,148,32.4,-6578.96,0.558,2026-07-06T18:06:31Z
USD/CHF,intraday,1h,2024-07-06,2026-07-06,107,35.5,-970.21,0.933,2026-07-06T18:06:52Z
USD/CHF,swing,1d,2024-07-06,2026-07-06,24,45.8,-149.04,0.954,2026-07-06T18:07:03Z
USD/CHF,position,1d,2024-07-06,2026-07-06,8,50.0,-122.23,0.934,2026-07-06T18:07:13Z
AUD/USD,scalp,15m,2024-07-06,2026-07-06,148,27.7,-8353.79,0.529,2026-07-06T18:07:40Z
AUD/USD,intraday,1h,2024-07-06,2026-07-06,111,40.5,2335.96,1.164,2026-07-06T18:08:00Z
AUD/USD,swing,1d,2024-07-06,2026-07-06,22,54.5,1018.67,1.41,2026-07-06T18:08:11Z
AUD/USD,position,1d,2024-07-06,2026-07-06,7,42.9,1471.46,2.075,2026-07-06T18:08:22Z
USD/CAD,scalp,15m,2024-07-06,2026-07-06,106,34.9,-3812.65,0.559,2026-07-06T18:08:45Z
USD/CAD,intraday,1h,2024-07-06,2026-07-06,68,38.2,721.84,1.086,2026-07-06T18:09:08Z
USD/CAD,swing,1d,2024-07-06,2026-07-06,12,58.3,-152.26,0.892,2026-07-06T18:09:20Z
USD/CAD,position,1d,2024-07-06,2026-07-06,3,33.3,-547.51,0.252,2026-07-06T18:09:30Z
NZD/USD,scalp,15m,2024-07-06,2026-07-06,160,35.6,-3853.77,0.786,2026-07-06T18:09:51Z
NZD/USD,intraday,1h,2024-07-06,2026-07-06,129,34.1,989.09,1.056,2026-07-06T18:10:11Z
NZD/USD,swing,1d,2024-07-06,2026-07-06,28,50.0,-1207.39,0.715,2026-07-06T18:10:22Z
NZD/USD,position,1d,2024-07-06,2026-07-06,7,42.9,-575.6,0.655,2026-07-06T18:10:34Z
GBP/JPY,scalp,15m,2024-07-06,2026-07-06,120,30.8,-5562.34,0.517,2026-07-06T18:10:56Z
GBP/JPY,intraday,1h,2024-07-06,2026-07-06,83,32.5,-3006.73,0.745,2026-07-06T18:11:14Z
GBP/JPY,swing,1d,2024-07-06,2026-07-06,17,58.8,526.08,1.242,2026-07-06T18:11:25Z
GBP/JPY,position,1d,2024-07-06,2026-07-06,6,33.3,-1110.99,0.525,2026-07-06T18:11:35Z
EUR/GBP,scalp,15m,2024-07-06,2026-07-06,52,34.6,-1007.64,0.736,2026-07-06T18:11:55Z
EUR/GBP,intraday,1h,2024-07-06,2026-07-06,43,34.9,-1765.64,0.65,2026-07-06T18:12:14Z
EUR/GBP,swing,1d,2024-07-06,2026-07-06,5,40.0,-300.99,0.427,2026-07-06T18:12:25Z
EUR/GBP,position,1d,2024-07-06,2026-07-06,2,0.0,-394.18,0.0,2026-07-06T18:12:35Z
EUR/JPY,scalp,15m,2024-07-06,2026-07-06,109,31.2,-5644.48,0.478,2026-07-06T18:12:55Z
EUR/JPY,intraday,1h,2024-07-06,2026-07-06,88,33.0,-5727.84,0.568,2026-07-06T18:13:16Z
EUR/JPY,swing,1d,2024-07-06,2026-07-06,18,61.1,800.5,1.336,2026-07-06T18:13:27Z
EUR/JPY,position,1d,2024-07-06,2026-07-06,8,62.5,2190.16,2.288,2026-07-06T18:13:37Z
AAPL,scalp,15m,2024-07-06,2026-07-06,43,37.2,-1030.57,0.844,2026-07-06T18:13:38Z
AAPL,intraday,1h,2024-07-06,2026-07-06,113,36.3,1298.98,1.054,2026-07-06T18:13:43Z
AAPL,swing,1d,2024-07-06,2026-07-06,32,56.2,-797.19,0.873,2026-07-06T18:13:52Z
AAPL,position,1d,2024-07-06,2026-07-06,10,50.0,-465.56,0.862,2026-07-06T18:14:02Z
MSFT,scalp,15m,2024-07-06,2026-07-06,46,50.0,5704.09,1.829,2026-07-06T18:14:04Z
MSFT,intraday,1h,2024-07-06,2026-07-06,128,37.5,-972.75,0.963,2026-07-06T18:14:08Z
MSFT,swing,1d,2024-07-06,2026-07-06,29,58.6,4597.19,2.236,2026-07-06T18:14:19Z
MSFT,position,1d,2024-07-06,2026-07-06,10,50.0,1442.23,1.563,2026-07-06T18:14:28Z
NVDA,scalp,15m,2024-07-06,2026-07-06,44,40.9,-903.28,0.897,2026-07-06T18:14:30Z
NVDA,intraday,1h,2024-07-06,2026-07-06,118,33.9,3263.4,1.109,2026-07-06T18:14:34Z
NVDA,swing,1d,2024-07-06,2026-07-06,28,42.9,1202.89,1.29,2026-07-06T18:14:44Z
NVDA,position,1d,2024-07-06,2026-07-06,10,40.0,2081.07,1.64,2026-07-06T18:14:53Z
